Jahr	Wohnviertel_Id	Wohnviertel	Deutschland	Italien	Türkei	Spanien	Portugal	Mazedonien	Jugoslawien	Serbien, Montenegro, Kosovo	Bosnien und Herzegowina	Slowenien	Kroatien	Vereinigtes Königreich	Frankreich	Indien	Vereinigte Staaten	Österreich	Sri Lanka	Übrige
1996	8	Bachletten	323	308	95	92	30	40	118	0	17	9	24	59	78	10	40	52	32	208
1997	8	Bachletten	331	322	94	107	32	47	107	0	13	9	25	70	89	10	39	67	19	218
1998	8	Bachletten	340	342	105	103	30	47	101	0	13	9	21	63	94	8	39	70	30	224
1999	8	Bachletten	357	354	115	103	31	47	111	0	17	8	21	64	98	7	47	69	27	249
2000	8	Bachletten	375	332	129	102	26	46	101	0	27	9	25	57	100	7	43	66	26	271
2001	8	Bachletten	369	340	131	104	34	47	107	0	30	8	29	72	98	10	60	64	24	310
2002	8	Bachletten	432	334	122	97	37	44	102	0	29	8	31	80	102	14	72	65	26	334
2003	8	Bachletten	478	314	104	111	37	42	0	103	24	7	28	86	100	13	75	67	20	332
2004	8	Bachletten	570	311	118	108	41	37	0	114	21	7	30	89	95	13	86	72	17	357
2005	8	Bachletten	632	306	113	115	45	31	0	118	15	5	32	95	96	12	81	73	11	382
2006	8	Bachletten	655	309	126	110	50	31	0	126	16	4	39	96	97	19	84	82	17	397
2007	8	Bachletten	697	307	128	106	56	35	0	123	18	4	41	88	98	18	104	88	14	407
2008	8	Bachletten	723	315	128	111	51	26	0	100	15	2	39	99	109	10	115	88	13	417
2009	8	Bachletten	814	334	126	105	51	23	0	92	13	2	37	105	134	10	100	94	12	417
2010	8	Bachletten	856	344	116	111	53	26	0	76	13	3	39	113	126	12	94	79	11	424
2011	8	Bachletten	876	351	118	112	57	26	0	76	13	3	37	122	132	15	97	82	15	451
2012	8	Bachletten	907	355	130	123	66	31	0	75	13	6	39	127	121	5	102	76	15	476
2013	8	Bachletten	893	366	131	143	59	39	0	78	14	12	34	135	133	38	100	74	14	501
2014	8	Bachletten	900	388	124	141	82	40	0	76	13	13	34	125	129	40	97	69	14	552
2015	8	Bachletten	921	381	113	134	76	33	0	86	15	15	30	136	119	50	90	74	17	610
2016	8	Bachletten	950	381	107	126	77	35	0	77	15	11	29	138	133	46	89	70	15	650
2017	8	Bachletten	956	356	108	120	103	29	0	88	9	12	28	138	137	26	81	71	15	621
1980	9	Gotthelf	197	435	30	142	11	0	105	0	0	0	0	24	44	5	20	47	0	124
1981	9	Gotthelf	199	431	30	149	10	0	97	0	0	0	0	25	37	5	18	51	0	131
1982	9	Gotthelf	200	424	37	178	11	0	110	0	0	0	0	28	40	10	17	50	0	124
1983	9	Gotthelf	180	382	71	165	14	0	122	0	0	0	0	27	37	5	15	49	1	111
1984	9	Gotthelf	168	365	65	147	17	0	128	0	0	0	0	25	35	13	17	52	2	127
1985	9	Gotthelf	169	364	88	147	19	0	126	0	0	0	0	27	48	12	16	42	9	126
1986	9	Gotthelf	169	354	59	144	18	0	122	0	0	0	0	23	42	13	12	54	2	115
1987	9	Gotthelf	161	339	57	139	18	0	127	0	0	0	0	25	45	12	11	52	2	123
1988	9	Gotthelf	160	335	53	137	18	0	121	0	0	0	0	22	31	13	14	49	2	126
1989	9	Gotthelf	158	308	67	128	18	0	134	0	0	0	0	28	32	13	19	50	2	107
1990	9	Gotthelf	162	304	80	132	26	0	156	0	0	0	0	25	37	12	25	54	4	123
1991	9	Gotthelf	157	307	76	116	35	0	170	0	0	0	0	23	30	16	21	53	14	143
1992	9	Gotthelf	164	284	74	120	39	0	175	0	0	5	9	27	27	15	15	53	8	160
1993	9	Gotthelf	180	290	84	117	34	7	154	0	2	9	27	30	23	17	18	53	10	182
1994	9	Gotthelf	184	279	102	123	39	30	124	0	7	8	36	23	21	20	21	47	13	174
1995	9	Gotthelf	185	282	97	114	40	30	121	0	12	9	27	27	21	22	19	44	17	174
1996	9	Gotthelf	184	257	109	120	43	36	119	0	15	8	23	31	24	19	25	47	14	188
1997	9	Gotthelf	200	235	100	115	37	36	117	0	22	7	19	37	26	22	22	46	16	169
1998	9	Gotthelf	190	237	107	106	42	38	114	0	22	6	22	30	25	15	14	45	23	178
1999	9	Gotthelf	187	254	107	100	44	35	118	0	23	5	29	26	31	14	10	48	25	184
2000	9	Gotthelf	208	244	125	84	51	34	104	0	21	5	29	29	28	11	12	52	22	195
2001	9	Gotthelf	221	236	129	77	43	36	96	0	19	6	32	39	30	15	15	44	19	182
2002	9	Gotthelf	246	233	111	81	41	24	96	0	22	6	36	39	32	17	14	47	20	184
2003	9	Gotthelf	276	232	118	84	50	25	0	98	20	5	37	40	42	20	17	46	20	211
2004	9	Gotthelf	334	233	115	78	46	27	0	100	24	4	34	41	39	22	11	43	22	254
2005	9	Gotthelf	392	236	112	83	38	19	0	96	27	4	29	41	37	19	16	39	27	236
2006	9	Gotthelf	398	222	99	95	39	17	0	85	24	5	28	52	35	11	20	41	27	239
2007	9	Gotthelf	465	226	96	98	48	18	0	79	17	6	24	53	38	22	27	46	21	250
2008	9	Gotthelf	494	218	90	96	42	21	0	72	19	7	33	50	51	26	16	47	27	286
2009	9	Gotthelf	546	220	92	90	48	17	0	77	16	6	33	61	63	21	21	50	28	320
2010	9	Gotthelf	560	222	88	95	49	17	0	79	9	6	27	67	64	23	26	57	31	328
2011	9	Gotthelf	591	237	93	98	51	15	0	69	5	5	26	67	63	21	28	51	24	322
2012	9	Gotthelf	570	223	92	91	54	20	0	66	5	6	24	68	67	31	34	50	25	349
2013	9	Gotthelf	574	223	88	87	68	24	0	67	5	5	28	62	63	34	41	48	26	341
2014	9	Gotthelf	596	210	80	94	70	24	0	71	6	4	36	75	80	39	45	49	31	366
2015	9	Gotthelf	597	213	76	95	67	24	0	70	6	3	32	78	77	35	28	55	22	412
2016	9	Gotthelf	585	217	76	99	60	24	0	80	5	3	34	76	75	36	26	52	22	428
2017	9	Gotthelf	583	222	79	102	53	22	0	78	5	2	32	67	78	29	34	51	22	440
1980	10	Iselin	301	1162	115	359	14	0	264	0	0	0	0	22	132	19	26	95	0	236
1981	10	Iselin	312	1092	109	364	26	0	260	0	0	0	0	27	124	20	30	90	0	251
1982	10	Iselin	296	1091	124	377	33	0	276	0	0	0	0	29	121	23	25	86	0	301
1983	10	Iselin	296	1089	132	360	40	0	288	0	0	0	0	29	120	28	23	80	0	266
1984	10	Iselin	273	1057	132	393	49	0	300	0	0	0	0	29	116	17	26	76	4	286
1985	10	Iselin	280	1066	267	394	54	0	298	0	0	0	0	28	129	32	22	74	83	287
1986	10	Iselin	285	1015	207	405	56	0	296	0	0	0	0	32	127	26	18	72	64	275
1987	10	Iselin	279	1020	260	377	58	0	305	0	0	0	0	36	118	24	15	68	70	262
1988	10	Iselin	287	1035	372	404	76	0	347	0	0	0	0	39	108	31	20	82	63	262
1989	10	Iselin	285	1039	433	414	72	0	418	0	0	0	0	38	98	32	19	65	72	305
1990	10	Iselin	315	1004	478	443	88	0	469	0	0	0	0	47	101	43	24	63	73	366
1991	10	Iselin	331	993	543	432	114	0	567	0	0	0	0	52	102	56	27	58	142	372
1992	10	Iselin	366	989	550	433	120	0	563	0	0	10	68	54	93	47	27	63	141	418
1993	10	Iselin	374	991	568	423	114	9	533	0	21	13	118	62	93	49	31	64	130	414
1994	10	Iselin	371	995	496	422	129	46	431	0	46	13	154	53	89	48	30	63	138	418
1995	10	Iselin	372	988	633	410	165	70	495	0	51	12	161	54	93	44	33	66	111	431
1996	10	Iselin	398	969	714	401	173	64	490	0	55	12	158	43	91	40	26	72	106	428
1997	10	Iselin	374	959	767	386	191	58	520	0	43	16	147	44	89	32	23	66	120	409
1998	10	Iselin	360	970	784	396	186	80	594	0	43	14	142	46	93	25	27	63	123	425
1999	10	Iselin	379	985	781	405	189	109	567	0	73	12	140	48	99	27	21	65	124	435
2000	10	Iselin	413	936	730	395	185	101	525	0	77	11	148	50	105	36	26	61	118	508
2001	10	Iselin	430	941	754	384	198	106	536	0	75	13	155	57	99	26	21	73	132	556
2002	10	Iselin	495	940	752	384	202	107	550	0	77	9	140	56	100	29	27	71	122	598
2003	10	Iselin	535	926	745	391	187	115	0	581	92	10	146	62	106	39	23	67	131	653
2004	10	Iselin	598	948	780	387	185	109	0	523	101	9	145	59	101	40	21	77	135	650
2005	10	Iselin	609	949	725	357	216	104	0	515	97	8	142	56	96	39	25	72	143	677
2006	10	Iselin	688	904	742	327	217	109	0	518	98	7	135	74	97	44	28	72	127	732
2007	10	Iselin	774	883	737	320	231	116	0	466	84	6	116	87	100	51	30	75	131	808
2008	10	Iselin	879	857	724	315	246	121	0	429	82	9	98	76	100	37	40	82	132	837
2009	10	Iselin	972	846	722	342	257	97	0	406	80	7	77	90	100	52	43	86	123	923
2010	10	Iselin	1015	833	753	348	257	108	0	404	86	8	79	106	112	54	41	84	147	946
2011	10	Iselin	1048	841	755	351	282	118	0	400	89	9	78	113	112	62	47	88	144	1031
2012	10	Iselin	1037	864	765	354	297	117	0	391	93	6	81	101	106	64	45	84	134	1104
2013	10	Iselin	1074	877	736	359	339	113	0	412	85	12	87	115	121	82	48	89	125	1180
2014	10	Iselin	1103	862	732	391	389	102	0	413	80	10	89	108	126	105	47	90	122	1159
2015	10	Iselin	1129	902	738	388	397	111	0	432	69	13	83	108	137	90	44	93	123	1238
2016	10	Iselin	1112	895	752	409	407	114	0	441	67	14	85	108	138	77	49	97	129	1364
2017	10	Iselin	1137	884	798	387	387	117	0	452	73	16	78	123	135	89	50	98	121	1443
1980	11	St. Johann	488	2192	361	830	84	0	373	0	0	0	0	26	147	24	23	113	3	453
1981	11	St. Johann	450	2159	420	880	91	0	409	0	0	0	0	40	133	31	33	105	1	437
1982	11	St. Johann	434	2132	469	937	100	0	443	0	0	0	0	50	125	36	37	107	1	452
1983	11	St. Johann	419	2042	633	1025	119	0	487	0	0	0	0	41	130	40	33	97	7	457
1984	11	St. Johann	415	1988	782	1077	126	0	545	0	0	0	0	42	127	51	32	90	23	453
1985	11	St. Johann	397	1981	887	1077	132	0	567	0	0	0	0	46	130	50	32	93	40	423
1986	11	St. Johann	382	2003	940	1116	152	0	639	0	0	0	0	51	124	48	33	89	69	434
1987	11	St. Johann	387	1936	1023	1142	164	0	677	0	0	0	0	52	124	50	35	91	58	434
1988	11	St. Johann	390	1869	1076	1154	174	0	801	0	0	0	0	60	130	50	37	84	60	439
1989	11	St. Johann	380	1850	1123	1147	190	0	878	0	0	0	0	53	125	49	37	83	69	430
1990	11	St. Johann	416	1849	1202	1175	213	0	962	0	0	0	0	56	116	41	45	90	87	452
1991	11	St. Johann	424	1841	1319	1152	217	0	1094	0	0	0	0	55	119	49	49	91	125	515
1992	11	St. Johann	424	1815	1377	1132	214	0	1149	0	3	14	79	63	108	55	53	82	159	558
1993	11	St. Johann	439	1850	1477	1118	246	65	1100	0	62	19	173	73	110	57	73	83	204	583
1994	11	St. Johann	452	1798	1494	1101	279	223	1004	0	82	18	182	68	113	69	55	85	210	581
1995	11	St. Johann	471	1760	1393	1095	297	314	991	0	116	18	185	50	116	73	49	78	207	606
1996	11	St. Johann	459	1624	1389	1049	317	331	1095	0	122	18	185	45	106	64	43	72	242	629
1997	11	St. Johann	473	1588	1396	985	297	352	1068	0	141	17	185	42	106	50	43	69	275	640
1998	11	St. Johann	477	1502	1331	941	296	335	1080	0	130	14	192	57	100	54	38	70	275	641
1999	11	St. Johann	477	1385	1343	880	294	339	1045	0	204	16	176	56	100	65	43	70	266	675
2000	11	St. Johann	499	1325	1331	844	291	350	919	0	229	16	194	61	92	57	36	71	268	702
2001	11	St. Johann	516	1299	1282	831	300	338	891	0	222	15	195	61	103	63	39	71	279	773
2002	11	St. Johann	601	1223	1236	820	373	353	870	0	231	14	211	71	111	71	52	92	304	853
2003	11	St. Johann	666	1131	1183	775	388	369	0	819	232	13	211	78	120	68	49	112	308	922
2004	11	St. Johann	728	1077	1155	712	410	368	0	823	223	10	190	79	118	72	50	129	290	1001
2005	11	St. Johann	883	1032	1163	661	465	370	0	775	209	10	166	86	114	72	44	139	271	932
2006	11	St. Johann	959	1016	1142	610	471	351	0	790	196	11	155	97	130	57	42	140	268	1005
2007	11	St. Johann	1040	953	1086	550	517	336	0	766	161	11	143	107	114	54	50	126	219	1053
2008	11	St. Johann	1159	923	1078	516	559	311	0	734	139	9	133	106	127	75	53	127	177	1135
2009	11	St. Johann	1279	916	1043	507	549	316	0	740	123	9	131	132	129	116	74	123	175	1223
2010	11	St. Johann	1331	900	1020	508	584	324	0	705	123	9	119	127	124	103	84	106	161	1357
2011	11	St. Johann	1389	889	1024	522	616	324	0	673	109	8	131	158	134	133	89	112	160	1404
2012	11	St. Johann	1387	869	1013	534	696	315	0	646	112	9	129	179	141	148	98	117	149	1486
2013	11	St. Johann	1428	899	1013	574	722	309	0	610	109	15	127	186	152	195	97	128	146	1584
2014	11	St. Johann	1473	908	1001	560	698	303	0	578	98	15	135	183	166	210	98	125	136	1614
2015	11	St. Johann	1432	905	938	566	689	300	0	527	93	28	137	184	179	185	109	122	144	1632
2016	11	St. Johann	1445	923	916	554	717	267	0	545	89	30	125	184	170	158	108	125	147	1638
2017	11	St. Johann	1417	922	895	526	695	254	0	533	91	26	120	175	172	165	122	114	146	1661
1980	12	Altstadt Kleinbasel	77	200	21	75	3	0	37	0	0	0	0	6	14	0	9	15	0	58
1981	12	Altstadt Kleinbasel	86	191	35	65	4	0	34	0	0	0	0	7	15	0	14	13	0	70
1982	12	Altstadt Kleinbasel	83	175	64	93	9	0	38	0	0	0	0	6	19	0	9	14	3	71
1983	12	Altstadt Kleinbasel	82	175	105	94	10	0	44	0	0	0	0	7	19	1	19	15	1	80
1984	12	Altstadt Kleinbasel	83	183	104	85	12	0	53	0	0	0	0	12	25	7	12	15	15	73
1985	12	Altstadt Kleinbasel	83	177	107	89	10	0	55	0	0	0	0	14	23	0	12	14	3	52
1986	12	Altstadt Kleinbasel	81	168	93	91	9	0	58	0	0	0	0	10	17	1	15	11	4	62
1987	12	Altstadt Kleinbasel	81	165	53	81	12	0	67	0	0	0	0	11	16	2	18	12	7	51
1988	12	Altstadt Kleinbasel	79	157	61	84	11	0	62	0	0	0	0	13	19	1	17	8	4	49
1989	12	Altstadt Kleinbasel	73	144	42	82	8	0	70	0	0	0	0	13	18	0	11	8	2	69
1990	12	Altstadt Kleinbasel	80	154	51	76	4	0	82	0	0	0	0	13	20	4	7	15	5	75
1991	12	Altstadt Kleinbasel	97	163	51	69	8	0	95	0	0	0	0	7	20	2	16	12	8	78
1992	12	Altstadt Kleinbasel	93	165	46	66	11	0	102	0	0	0	18	5	16	2	16	12	9	74
1993	12	Altstadt Kleinbasel	93	150	44	70	13	0	102	0	4	0	23	6	15	2	15	12	18	86
1994	12	Altstadt Kleinbasel	94	144	52	75	10	12	114	0	10	0	24	5	16	2	12	12	13	86
1995	12	Altstadt Kleinbasel	91	145	78	73	10	9	92	0	9	1	21	9	16	3	12	8	13	87
1996	12	Altstadt Kleinbasel	83	136	72	66	9	12	81	0	8	1	26	9	18	3	11	9	7	85
1997	12	Altstadt Kleinbasel	95	106	65	66	14	7	75	0	9	1	23	4	18	1	10	12	5	83
1998	12	Altstadt Kleinbasel	85	101	70	63	11	6	76	0	12	1	24	4	13	1	12	11	2	80
1999	12	Altstadt Kleinbasel	84	99	55	50	11	5	90	0	22	2	24	10	12	1	13	11	3	88
2000	12	Altstadt Kleinbasel	83	103	53	45	11	6	77	0	23	2	21	7	12	0	11	13	3	109
2001	12	Altstadt Kleinbasel	87	100	51	44	10	5	64	0	25	2	16	18	12	1	10	15	4	124
2002	12	Altstadt Kleinbasel	103	94	55	43	10	7	62	0	19	0	19	19	12	1	12	14	4	135
2003	12	Altstadt Kleinbasel	106	80	53	43	11	8	0	62	15	0	20	20	13	2	11	16	4	137
2004	12	Altstadt Kleinbasel	118	81	57	38	11	9	0	63	11	0	16	24	14	4	10	18	7	143
2005	12	Altstadt Kleinbasel	118	90	40	41	11	11	0	63	6	1	8	26	18	1	11	12	5	148
2006	12	Altstadt Kleinbasel	139	82	40	40	13	10	0	63	6	0	8	23	14	4	13	14	8	160
2007	12	Altstadt Kleinbasel	159	72	48	33	12	7	0	59	6	1	10	25	14	1	13	16	10	161
2008	12	Altstadt Kleinbasel	186	73	42	28	11	14	0	52	7	1	8	23	10	2	12	14	11	159
2009	12	Altstadt Kleinbasel	201	81	35	33	13	16	0	44	7	2	10	27	14	9	15	16	5	180
2010	12	Altstadt Kleinbasel	208	71	37	35	13	18	0	39	7	2	9	24	21	9	14	17	4	183
2011	12	Altstadt Kleinbasel	188	74	33	35	11	17	0	45	2	1	9	30	22	11	13	17	5	188
2012	12	Altstadt Kleinbasel	177	78	34	41	11	22	0	41	2	1	11	27	29	12	20	23	5	200
2013	12	Altstadt Kleinbasel	199	77	32	52	14	21	0	43	2	1	9	36	33	10	28	25	5	238
2014	12	Altstadt Kleinbasel	195	88	43	48	18	26	0	48	3	1	13	41	28	13	30	25	6	248
2015	12	Altstadt Kleinbasel	189	93	41	52	19	25	0	47	3	5	7	33	29	11	32	19	2	266
2016	12	Altstadt Kleinbasel	206	101	37	53	19	27	0	43	5	5	8	35	38	17	32	20	2	292
2017	12	Altstadt Kleinbasel	205	91	37	48	15	20	0	54	2	5	7	40	44	23	36	22	2	265
1980	13	Clara	113	513	59	135	6	0	91	0	0	0	0	8	22	1	9	22	0	60
1981	13	Clara	113	494	77	154	12	0	95	0	0	0	0	10	25	1	8	20	0	87
1982	13	Clara	102	527	113	153	7	0	117	0	0	0	0	7	26	0	12	24	1	89
1983	13	Clara	101	514	203	173	7	0	98	0	0	0	0	5	20	0	8	19	2	81
1984	13	Clara	92	524	248	156	7	0	137	0	0	0	0	6	21	1	9	18	6	90
1985	13	Clara	97	494	238	158	8	0	149	0	0	0	0	8	24	0	10	22	7	88
1986	13	Clara	90	475	216	153	11	0	141	0	0	0	0	5	23	0	6	29	14	96
1987	13	Clara	87	462	236	136	18	0	157	0	0	0	0	7	24	1	13	26	28	79
1988	13	Clara	96	445	262	137	18	0	195	0	0	0	0	5	27	1	9	27	29	98
1989	13	Clara	97	432	263	149	22	0	182	0	0	0	0	8	28	1	10	25	25	99
1990	13	Clara	98	437	241	161	39	0	224	0	0	0	0	8	34	5	10	26	35	121
1991	13	Clara	94	438	241	162	43	0	279	0	0	0	0	18	27	5	8	20	39	109
1992	13	Clara	92	429	274	157	47	0	272	0	0	2	13	11	26	6	6	22	41	113
1993	13	Clara	102	411	275	170	52	15	261	0	0	4	28	12	29	6	6	25	35	125
1994	13	Clara	102	409	284	163	52	67	223	0	7	5	30	17	30	5	9	23	37	124
1995	13	Clara	106	395	256	168	57	75	254	0	8	5	33	15	28	6	13	22	35	134
1996	13	Clara	103	401	222	167	61	70	273	0	17	5	34	14	28	6	5	24	33	130
1997	13	Clara	106	385	196	172	63	78	278	0	23	7	41	12	30	7	4	27	43	137
1998	13	Clara	104	363	182	155	62	80	250	0	39	6	47	14	27	8	7	28	48	127
1999	13	Clara	109	379	199	135	64	82	247	0	56	8	47	10	25	11	6	24	44	127
2000	13	Clara	112	369	202	130	58	111	257	0	44	9	44	13	24	9	4	32	49	126
2001	13	Clara	125	365	175	131	52	111	252	0	40	7	38	15	23	13	6	30	46	145
2002	13	Clara	150	344	171	130	54	110	260	0	40	7	47	11	30	10	4	31	46	154
2003	13	Clara	170	323	173	112	51	117	0	253	57	7	43	14	27	14	9	30	38	189
2004	13	Clara	171	323	134	107	53	120	0	261	47	8	40	15	25	27	10	39	47	191
2005	13	Clara	190	287	137	110	65	120	0	254	46	5	33	19	26	30	11	48	49	194
2006	13	Clara	219	268	152	109	68	111	0	236	32	4	35	31	31	41	17	42	46	226
2007	13	Clara	255	253	144	104	59	101	0	223	31	5	33	30	42	49	26	37	45	237
2008	13	Clara	263	260	129	104	76	104	0	209	28	6	34	33	44	78	23	38	49	275
2009	13	Clara	288	264	137	98	72	104	0	207	26	3	33	37	37	108	20	38	41	292
2010	13	Clara	274	253	129	107	65	97	0	214	23	4	34	42	29	107	27	32	41	298
2011	13	Clara	258	255	123	95	72	94	0	200	18	3	36	44	27	128	22	32	40	332
2012	13	Clara	260	249	124	93	76	93	0	206	18	3	32	41	32	185	21	29	43	351
2013	13	Clara	276	250	124	90	75	96	0	210	16	2	35	44	30	172	28	25	38	389
2014	13	Clara	294	240	116	102	89	89	0	200	19	5	32	37	41	146	26	29	34	390
2015	13	Clara	291	237	113	98	89	92	0	198	20	9	32	37	54	145	22	29	26	377
2016	13	Clara	292	228	116	102	97	94	0	192	17	7	32	41	51	150	20	29	26	370
2017	13	Clara	297	239	125	105	103	100	0	181	15	12	34	35	45	163	32	28	26	369
1980	14	Wettstein	122	348	29	120	2	0	38	0	0	0	0	4	22	1	21	24	0	78
1981	14	Wettstein	119	343	40	120	3	0	38	0	0	0	0	8	22	2	27	24	0	76
1982	14	Wettstein	124	348	50	123	3	0	36	0	0	0	0	11	20	2	18	17	0	77
1983	14	Wettstein	119	325	60	119	3	0	25	0	0	0	0	11	19	1	22	17	0	67
1984	14	Wettstein	119	301	105	132	3	0	32	0	0	0	0	9	19	3	15	18	8	76
1985	14	Wettstein	109	283	142	133	3	0	26	0	0	0	0	8	13	1	13	16	0	61
1986	14	Wettstein	110	287	79	127	1	0	26	0	0	0	0	10	13	2	13	14	1	53
1987	14	Wettstein	111	285	60	113	4	0	24	0	0	0	0	9	13	6	12	17	0	64
1988	14	Wettstein	104	288	61	121	4	0	34	0	0	0	0	4	15	5	14	16	0	76
1989	14	Wettstein	116	280	88	121	5	0	43	0	0	0	0	5	22	4	12	17	0	77
1990	14	Wettstein	122	281	85	111	13	0	40	0	0	0	0	11	22	3	12	18	1	89
1991	14	Wettstein	129	269	67	93	19	0	53	0	0	0	0	17	26	4	10	18	4	90
1992	14	Wettstein	149	256	80	94	18	0	46	0	0	3	10	17	31	4	14	19	4	104
1993	14	Wettstein	152	246	105	87	17	0	41	0	0	3	16	26	29	3	19	26	1	106
1994	14	Wettstein	163	245	110	80	19	14	32	0	8	4	16	30	28	3	13	25	0	104
1995	14	Wettstein	160	242	121	68	29	10	47	0	8	4	21	27	28	4	19	23	1	114
1996	14	Wettstein	177	243	148	73	30	8	52	0	9	3	22	27	29	15	23	23	0	133
1997	14	Wettstein	186	244	136	67	32	12	51	0	10	5	30	33	17	15	24	21	4	141
1998	14	Wettstein	188	239	131	76	26	14	63	0	8	5	28	29	17	6	19	21	0	136
1999	14	Wettstein	195	229	126	78	16	22	61	0	6	4	28	42	24	3	24	25	0	149
2000	14	Wettstein	199	231	119	89	17	22	70	0	5	4	29	30	20	6	17	22	0	152
2001	14	Wettstein	201	220	133	86	20	14	70	0	6	4	32	44	19	7	21	20	5	171
2002	14	Wettstein	225	240	121	107	20	18	65	0	8	4	33	53	23	6	21	20	6	187
2003	14	Wettstein	244	241	136	100	19	11	0	43	9	4	33	64	23	8	27	22	8	191
2004	14	Wettstein	282	242	136	95	16	15	0	47	11	4	37	64	25	8	27	25	10	196
2005	14	Wettstein	305	230	143	92	18	14	0	47	12	3	43	60	31	11	30	20	7	202
2006	14	Wettstein	350	205	136	84	27	16	0	43	12	3	46	61	39	10	23	25	3	224
2007	14	Wettstein	399	197	115	81	22	17	0	23	12	3	42	52	42	14	21	27	7	222
2008	14	Wettstein	449	206	102	80	19	16	0	29	8	2	30	47	42	21	28	27	2	250
2009	14	Wettstein	482	207	126	81	23	14	0	26	4	2	30	52	45	35	30	27	3	259
2010	14	Wettstein	456	208	113	83	25	18	0	25	3	4	29	34	49	40	27	35	3	252
2011	14	Wettstein	465	194	98	69	26	15	0	33	3	6	25	41	47	46	24	34	5	284
2012	14	Wettstein	474	196	107	73	33	14	0	33	6	5	26	48	51	45	38	28	12	290
2013	14	Wettstein	502	194	95	77	36	16	0	36	6	2	19	48	53	35	39	31	10	301
2014	14	Wettstein	516	191	83	102	36	11	0	40	9	6	17	63	58	34	51	36	15	383
2015	14	Wettstein	539	199	85	106	41	12	0	38	10	5	16	50	74	17	66	39	14	422
2016	14	Wettstein	556	212	87	103	45	13	0	42	10	4	17	48	79	20	63	40	17	440
2017	14	Wettstein	549	225	87	106	45	16	0	41	6	3	14	51	65	22	77	41	9	365
1980	15	Hirzbrunnen	391	377	34	45	1	0	51	0	0	0	0	20	29	2	5	37	0	117
1981	15	Hirzbrunnen	378	386	34	48	0	0	55	0	0	0	0	14	35	1	4	38	0	103
1982	15	Hirzbrunnen	366	380	41	55	0	0	55	0	0	0	0	16	36	1	3	33	0	120
1983	15	Hirzbrunnen	352	349	47	55	0	0	54	0	0	0	0	14	36	0	4	29	0	119
1984	15	Hirzbrunnen	328	328	55	66	1	0	56	0	0	0	0	9	41	0	3	28	0	127
1985	15	Hirzbrunnen	305	331	187	67	1	0	61	0	0	0	0	9	39	1	7	24	27	123
1986	15	Hirzbrunnen	284	334	73	70	5	0	56	0	0	0	0	10	38	0	7	28	0	109
1987	15	Hirzbrunnen	267	339	239	69	2	0	63	0	0	0	0	18	34	6	15	23	0	115
1988	15	Hirzbrunnen	282	331	86	61	5	0	60	0	0	0	0	20	34	9	17	19	0	104
1989	15	Hirzbrunnen	287	334	98	62	8	0	60	0	0	0	0	27	41	11	14	23	0	112
1990	15	Hirzbrunnen	288	337	118	64	11	0	87	0	0	0	0	17	42	11	3	23	11	116
1991	15	Hirzbrunnen	290	347	150	69	13	0	106	0	0	0	0	15	40	13	4	27	9	113
1992	15	Hirzbrunnen	293	354	149	63	14	0	90	0	0	3	23	13	39	8	4	28	8	114
1993	15	Hirzbrunnen	297	349	196	56	14	0	68	0	0	3	37	12	32	9	15	28	7	121
1994	15	Hirzbrunnen	301	360	258	62	16	9	63	0	4	3	39	10	34	9	8	34	5	139
1995	15	Hirzbrunnen	286	356	342	63	14	20	71	0	4	3	35	5	33	7	2	29	13	127
1996	15	Hirzbrunnen	286	341	379	64	20	25	93	0	6	3	30	10	31	8	5	24	11	139
1997	15	Hirzbrunnen	291	337	417	61	16	34	88	0	6	3	23	9	28	11	7	26	9	132
1998	15	Hirzbrunnen	291	332	430	62	16	41	79	0	4	2	27	8	27	10	2	22	2	145
1999	15	Hirzbrunnen	289	350	431	65	19	47	88	0	9	2	33	12	29	10	4	22	5	151
2000	15	Hirzbrunnen	292	346	408	67	26	48	97	0	10	0	35	9	32	8	12	23	7	166
2001	15	Hirzbrunnen	287	352	383	65	29	53	89	0	8	0	32	16	30	14	12	23	9	171
2002	15	Hirzbrunnen	295	333	354	58	33	53	91	0	7	3	30	17	30	14	17	20	8	203
2003	15	Hirzbrunnen	305	327	348	57	32	64	0	97	12	3	28	12	24	18	13	19	7	203
2004	15	Hirzbrunnen	322	318	338	59	31	59	0	76	11	2	25	20	25	7	10	20	4	194
2005	15	Hirzbrunnen	346	327	314	54	26	42	0	92	16	3	30	14	24	8	11	18	1	202
2006	15	Hirzbrunnen	352	324	294	63	19	33	0	91	15	3	33	19	26	12	11	16	1	206
2007	15	Hirzbrunnen	381	318	271	66	22	25	0	84	13	3	31	23	26	18	11	16	1	191
2008	15	Hirzbrunnen	433	310	284	64	21	31	0	69	14	3	33	13	25	22	9	24	1	200
2009	15	Hirzbrunnen	439	328	266	65	25	32	0	75	18	2	35	16	23	30	15	26	4	208
2010	15	Hirzbrunnen	445	323	256	53	21	35	0	86	13	2	31	18	29	28	10	24	4	204
2011	15	Hirzbrunnen	480	333	262	51	26	38	0	91	12	3	28	34	27	25	13	29	4	233
2012	15	Hirzbrunnen	508	322	243	53	30	48	0	114	17	5	22	29	37	26	12	33	4	241
2013	15	Hirzbrunnen	529	315	255	70	31	51	0	107	18	6	23	30	41	34	9	33	4	257
